name,price,status,shipping,free_returns,items_sold
"Future of Leadership Development, Hardcover by Kravis-Deroulet Leadership Con...",20220,New (Other),,False,
The Constitutional Presidency by Joseph M. Bessette (English) Hardcover Book,8660,Brand New,,False,
Fantastic Four Epic Collection: into the Time Stream Paperback,3643,Pre-Owned,,False,
X-Men #455 Marvel Comics 2005,500,Pre-Owned,425,True,
New Excalibur #13 (2005) Marvel Comics VF/NM,420,Pre-Owned,635,False,
"FANTASTIC FOUR EPIC - Paperback, by Simonson Walt; Fingeroth - Very Good",3627,Pre-Owned,,True,
"HEROES REBORN: DOOM #1 - MARVEL COMICS, MCU, ROBERT DOWNEY, JR.! FANTASTIC FOUR!",800,New (Other),463,False,
DOOM - HEROES REBORN #1 (NM) DR. DOOM! Claremont McKone Marvel 2000 High Grade,1195,New (Other),844,False,
Exiles (2001 series) #7 Marvel comics,325,New (Other),395,False,
AVENGERS X-MEN MAXIMUM SECURITY MARVEL COMICS TPB GRAPHIC NOVEL RONAN AND EGO,2499,Brand New,2499,False,
Heroes Reborn: Doomsday #1 Robert Downey Jr. Doctor Doom MCU!!! NM LOT 2,2999,New (Other),999,False,
Power Pack Classic Omnibus #1 (Marvel Comics 2019),8500,Brand New,988,False,
"Doomsday Heroes Reborn #1 Newsstand 1:20 Rare 2,334 Copies Only 4 Listed Dr Doom",9000,Pre-Owned,700,False,
2005 Marvel Comic Uncanny X-Men #455 FN+/VF,640,Pre-Owned,640,False,
"Contentious Spirits : Religion in Korean American History, 1903-1945, Paperba...",3300,Brand New,,False,
Introduction to Industrial/Organizational Psychology by Ronald E. Riggio Hardcov,22021,Brand New,,False,
HAWKEYE EPIC COLLECTION: THE WAY OF THE ARROW by DeFalco,3899,Pre-Owned,699,False,
Endgames: Military Response to Protest in Arab Autocracies by Hicham Bou Nassif,20770,Brand New,,False,
Exiles (2001 series) #7 Marvel comics,420,New (Other),463,False,
Heroes Reborn: Doomsday #1 Tony Stark Iron Man Doctor Doom MCU NM- Marvel 2000,2999,New (Other),688,False,
Claremont McKenna College Burgundy Ceramic Coffee Mug,2197,Pre-Owned,,False,
Excaliber Annual #1 (Marvel 1993) Free Domestic Shipping,699,,,True,
Hawkeye Epic Collection: The Way of The Arrow,3370,Brand New,,False,
X-Treme X-Men Comic 39 Cover A First Print 2004 Chris Claremont Igor Kordey | Co,500,New (Other),499,False,
"Revitalizing Political Psychology : The Legacy of Harold D. Lasswell, Hardcov...",15560,Brand New,,False,
"Contentious Spirits : Religion in Korean American History, 1903-1945, Paperba...",3226,New (Other),,False,
Hawkeye Epic Collection TPB Way Of Arrow Brand New Condition Graphic Novel Comic,5399,Brand New,600,False,
HEROS REBORN 1 DOOMSDAY (9.8)  MARVEL (b071),20000,,500,True,
Hawkeye Epic Collection: The Way of the Arrow by Tom Defalco: New,5934,Brand New,,False,
Hawkeye Epic Collection: The Way of The Arrow by Tom DeFalco Paperback Book,5610,Brand New,,False,
FANTASTIC FOUR EPIC COLLECTION: INTO THE TIME STREAM (THE By Walter Simonson,6875,New (Other),,True,
"Maximum Security by Kurt Busiek (2010, Paperback)",14999,Pre-Owned,699,False,
Hawkeye Epic Collection TPB Way Of Arrow,4499,Brand New,1735,False,
Hawkeye Epic Collection: The Way of the Arrow by Tom DeFalco,3658,Brand New,,False,
"Practice of Leadership : Developing the Next Generation of Leaders, Hardcover...",4927,New (Other),,False,
