name,price,status,shipping,free_returns,items_sold
"Apple Macbook Pro 15"" Retina - Quad Core i7 + 16GB RAM + 512GB SSD - OS Catalina",17955,Pre-Owned,,True,
New Listing2017 Apple MacBook Pro 15-inch – i7 2.9 GHz 16GB RAM 1TB SSD | Intel HD Graph630,60000,Pre-Owned,,False,
"Apple Macbook Pro M1 Max 16"" 2021 10-Core CPU 32 GPU 1TB SSD 32GB Ram Gray",138999,Very Good - Refurbished,,True,
"Apple Macbook Pro 15"" Retina - i7 16GB RAM + 256GB to 512GB SSD - OS Big Sur",22900,Pre-Owned,,True,
"Apple MacBook 13"" Unibody  A1342 8GB RAM 256GB SSD",18900,Pre-Owned,,True,
"Apple MacBook Pro 15"" i7 Retina 1TB SSD 16GB 3.4Ghz Monterey - 3 Year Warranty",49900,Pre-Owned,,True,
"Apple MacBook 12"" - Core m3 | m5 | m7 - 8GB RAM - 256GB | 512GB SSD - Very Good",19945,Very Good - Refurbished,,True,
MacBook Pro 13 2020 Touch Bar 2.3 GHz i7 16GB 512GB Space Gray - Good Condition,40999,Good - Refurbished,,True,
"Apple MacBook Pro 13.3"" Intel Core i5 2.5ghz, 16GB Ram , 500GB Hdd MacOS 10.15",10500,Pre-Owned,,True,
Apple 2024 MacBook Pro 14-inch M4 Chip 16GB RAM 512GB SSD Space Black MW2U3LL/A,129900,Open Box,,True,
Apple MacBook Pro 2021 16in M1 Pro 10 CPU 16 GPU 16GB RAM 512GB SSD Excellent,87988,Excellent - Refurbished,,True,
MacBook Pro 13 Touch Bar 2020 M1 8-Core / 8-Core GPU 16GB 256GB Space Gray Good,50999,Good - Refurbished,,True,
"2013 Apple MacBook Pro 15.4'' Intel Core i7 512GB SSD 16GB RAM ME665LL/A, Good",20699,Good - Refurbished,,True,
"Apple MacBook Pro 15.4-Inch Intel Core i9, 32GB RAM, 1TB SSD, Space Grey",45900,Good - Refurbished,,True,
APPLE MACBOOK PRO MPXQ2LL/A | INTEL CORE I5-7360U | 128GB | 8GB RAM | VENTURA,21999,Pre-Owned,,True,
"MAXED!! Apple MacBook Air Retina 13"" + LOADED!! + 2023 OS + EXTRAS! + 256 GB SSD",64125,Pre-Owned,,True,
"Apple Macbook M1 Pro 16"" 2021 10-core CPU 16-core GPU 512GB SSD 16GB Ram Gray",92900,Excellent - Refurbished,,True,
"EXCELLENT Apple MacBook Pro 15"" RETINA 3.4GHz i7 Turbo 16GB RAM 512GB SSD",39102,Very Good - Refurbished,,True,
13 Apple Macbook Pro Core i7 4.0GHz Turbo 256GB SSD 16GB A1706 TouchBar Warranty,47500,Pre-Owned,,True,
"13"" Apple MacBook Air 512gb SSD 8gb 2.7Ghz i5 TURBO - Monterey - 3 Year WARRANTY",29900,Pre-Owned,,True,
"Apple MacBook Pro Core i7 2.0GHz 8GB RAM 256GB SSD 15"" ME293LL/A, Good",17999,Good - Refurbished,,True,
"Apple MacBook Air 2018 13"" 1.6GHz Intel Core i5 8GB RAM 256GB SSD Gray",17500,Pre-Owned,2130,False,
"New Listing2020 Apple MacBook Air 13.3"" M1  8GB RAM 256GB SSD A2337",37500,Pre-Owned,1138,False,
Apple 2020 MacBook Air M1 3.2GHz (7-Core GPU) 16GB RAM 256GB SSD - Very good,54999,Very Good - Refurbished,,True,
"2013 Apple MacBook Pro A1425 13"" i5 2.6GHz 8GB RAM 256GB SSD ME662LL/A, Good",16299,Good - Refurbished,,True,
"Apple MacBook Pro 13"" A1278 2.5GHz Intel Core i5 8GB RAM 120GB SSD Mid 2012",11900,Pre-Owned,,True,
"Apple MacBook Pro 13"" 2020, Apple M1, 256GB SSD, 16GB RAM, 8C GPU, A2338, Great!",49999,Pre-Owned,,True,
Apple MacBook Pro 2021 16in M1 Pro 10 CPU 16 GPU 16GB RAM 1TB SSD Excellent,95202,Excellent - Refurbished,,True,
"Apple MacBook Pro 15"" 16GB i7 3.7Ghz - Retina 1TB SSD Monterey - 3 Year Warranty",49900,Pre-Owned,,True,
"New ListingApple MacBook Pro 16"" (512GB SSD, Intel Core i7 9th Gen., 2.60 GHz, 16GB) USED",39999,Pre-Owned,,False,
"Apple MacBook Pro Retina 15'' (512GB SSD, Core i7-4770HQ, 2.2GHz, 16GB RAM)",22999,Good - Refurbished,,True,
Apple MacBook Air with M1 Chip 13-inch 16GB 512GB SSD 8GPU Space Gray - OSX 2024,59900,Excellent - Refurbished,,True,
"Apple Macbook Air M2 2022 13"" 8-Core CPU 8-Core GPU 256GB SSD 8GB Ram Gray",64999,Excellent - Refurbished,,True,
"Apple MACBOOK PRO 15"" 16GB i7 3.4Ghz - RETINA 1TB SSD Monterey - 1 Year Warranty",40850,Pre-Owned,,True,
"13"" MacBook Air 2020 M1 7-Core GPU 16GB RAM 256GB SSD Sonoma Gray Warranty Good",46700,Good - Refurbished,,True,
"15"" Apple MacBook Pro - 3.8Ghz Turbo i7 16GB 256GB SSD Touch Bar - 1 Yr Warranty",49900,Pre-Owned,,True,
"Apple Macbook Pro 15"" Retina - Quad Core i7 + 16GB RAM + 512GB SSD - OS Catalina",17955,Pre-Owned,,True,
"Apple MacBook Pro 13"" Retina/ 2.4Ghz Core i5/8GB/256GB SSD. Os Big Sur Grade C",13900,Pre-Owned,,True,
"Apple MacBook 12"" Retina (2015) - Core M - 8GB RAM - 256GB SSD - Space Gray - MJ",15999,Pre-Owned,,True,
MacBook Pro 13 Touch Bar Space Gray 2019 2.4 GHz Intel Core i5 16GB 256GB - Good,28999,Good - Refurbished,,True,
"13"" Apple MacBook Air 2019 1.6GHz Intel Core i5 16GB RAM 256GB SSD Gray - Good",29999,Good - Refurbished,,True,
"Apple MacBook Pro 16"" (2021) Silver A2485 M1 Pro 16GB RAM 512GB B-Grade",89999,Pre-Owned,,True,
"Apple MacBook Pro Core i5 2.3GHz, 13.3-inch, 8GB RAM, 256GB SSD, Space Gray",24900,Pre-Owned,,True,
"15"" MacBook Pro 2017 Gray 2.9 i7 16GB 512GB SSD 560 Ventura + Warranty + Good",32200,Good - Refurbished,,True,
"New ListingApple MacBook Air 13 in 2022 Midnight/Apple M2 3.49 GHz, 256 GB 8 GB 8-Core",71000,Pre-Owned,1390,False,
"Apple MacBook Pro A1398  Laptop 15"" Intel I7 CPU 16GB RAM 512 SSD",22999,Pre-Owned,,True,
Apple MacBook Pro 13 Touch Bar 2020 M1 8-Core CPU 8-Core GPU 16GB 512GB Gray,54999,Good - Refurbished,,True,
"Apple MacBook Air Core i5 1.6GHz 8GB RAM 256GB SSD 13"" MVFJ2LL/A (2019) - Good",28997,Good - Refurbished,,True,
Apple Macbook Pro 13 Inch | i5 8GB RAM + 128GB SSD | OS High Sierra | WARRANTY,10900,Pre-Owned,,False,
"2020 13"" Apple MacBook Air 1.1GHz Intel Core i3 8GB RAM 256GB SSD, Good",32999,Good - Refurbished,,True,
New ListingMacBook Air,17500,Pre-Owned,961,False,
"Apple MacBook Pro 13"" Retina/ 2.4Ghz Core i5/8GB/256GB SSD. Os Big Sur",16900,Pre-Owned,,True,
2017 Apple MacBook Air 13 inch / Dual Core i5/ 8GB / 256GB SSD. OS Monterey,18900,Pre-Owned,,True,
New ListingMacBook Air m3 & 11+13 Inch iPad Pro M4,75000,Brand New,1759,False,
"New ListingApple MacBook Pro Core i7 2.5 15"" Mid-2015 MacBookPro11,5",15000,Pre-Owned,999,False,
"Apple Macbook Pro 13"" Laptop i5 8GB RAM 128GB SSD HD. Os High Sierra. DVD Player",13900,Pre-Owned,,True,
"New ListingApple MacBook Pro MV982LL/A 13"" - (Core i7 - 2.8Ghz - 16GB Ram - 512GB SSD)",38000,Pre-Owned,921,False,
